Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
181,3/29/17,CHO,@,TOR,4th,10:57.0,CHO down 4 (70-74),M. Belinelli makes free throw 2 of 2,CHO down 3 (71-74)
182,3/29/17,CHO,@,TOR,4th,10:57.0,CHO down 5 (69-74),M. Belinelli makes free throw 1 of 2,CHO down 4 (70-74)
183,3/29/17,CHO,@,TOR,3rd,01:36.0,CHO down 8 (62-70),M. Belinelli makes free throw 2 of 2,CHO down 7 (63-70)
184,3/29/17,CHO,@,TOR,3rd,01:36.0,CHO down 8 (62-70),M. Belinelli misses free throw 1 of 2,CHO down 8 (62-70)
185,3/29/17,CHO,@,TOR,3rd,05:44.0,CHO down 5 (54-59),M. Williams makes free throw 3 of 3,CHO down 4 (55-59)
186,3/29/17,CHO,@,TOR,3rd,05:44.0,CHO down 5 (54-59),M. Williams misses free throw 2 of 3,CHO down 5 (54-59)
187,3/29/17,CHO,@,TOR,3rd,05:44.0,CHO down 6 (53-59),M. Williams makes free throw 1 of 3,CHO down 5 (54-59)
188,3/29/17,CHO,@,TOR,3rd,11:41.0,CHO up 5 (52-47),N. Batum makes free throw 1 of 1,CHO up 6 (53-47)
189,3/29/17,CHO,@,TOR,2nd,00:13.0,CHO up 4 (49-45),M. Plumlee makes free throw 2 of 2,CHO up 5 (50-45)
190,3/29/17,CHO,@,TOR,2nd,00:13.0,CHO up 4 (49-45),M. Plumlee misses free throw 1 of 2,CHO up 4 (49-45)
191,3/29/17,CHO,@,TOR,2nd,01:23.0,CHO up 7 (46-39),K. Walker makes free throw 2 of 2,CHO up 8 (47-39)
192,3/29/17,CHO,@,TOR,2nd,01:23.0,CHO up 6 (45-39),K. Walker makes free throw 1 of 2,CHO up 7 (46-39)
193,3/29/17,CHO,@,TOR,2nd,08:46.0,CHO up 9 (33-24),F. Kaminsky makes free throw 1 of 1,CHO up 10 (34-24)
194,3/28/17,CHO,,MIL,4th,01:26.0,CHO down 12 (103-115),K. Walker makes free throw 1 of 1,CHO down 11 (104-115)
